smiles,logP,MW
CC12CC(O)C1C(=O)O2,-0.317,128.13
CCC[C@H](C)NC(=O)[C@@H]1CCC[NH+](CC(=O)NC(=O)NC2CC2)C1,-0.4257,339.46
Cc1csc(=O)n1CCC(=O)NNC(=O)[C@@H]1CCCO1,-0.0652799999999999,299.35
CCO[C@@H]1C[C@@H]([O-])C12CC[NH+](Cc1ccc(-n3cncn3)cc1)CC2,-0.0299,342.44
C#CC1=CCNC(=O)N1,-0.184,122.13
CC(C=O)C#CCO,-0.183,112.13
C#CCOC(=O)NC=O,-0.498,127.1
CC1(O)C2N3CC3C12C,-0.176,125.17
OC1=NC(=N)N=C(F)N1,-0.871,130.08
Cn1ccc(=O)c(n1)O,-0.514,126.11
CCCc1nsc(N2CCO[C@H](CC(=O)[O-])C2)n1,-0.1642,270.33
OC1CNC1C=O,-1.482,101.1
Cn1cnc(c1N)O,-0.292,113.12
CC1C=CC(O)C1O,-0.086,114.14
C#CC(=O)c1nc[nH]n1,-0.379,121.1
C[NH+]1CCN(C(=O)CN2CCN(CC3CCCC3)C(=O)C2)CC1,-1.3223,323.46
C1CNCc2c1onn2,-0.285,125.13
OC1CC1N1N=NN=N1,-1.626,127.11
COc1ccc(CNC(=O)C[NH+]2C[C@@H](O)C[C@@H]2C(N)=O)cc1,-2.1852,308.36
CC(O)C(=O)OCCO,-1.097,134.13
O=CC1(CN=CN1)C#C,-0.811,122.13
COC(CO)CC1CO1,-0.217,132.16
CC(O)C(C#N)C(N)=O,-1.008,128.13
OC12C3NC1C3C21CO1,-1.53,125.13
CCCCN1C(=O)/C(=C\NN2CCOCC2)C([O-])=NC1=S,-0.6069,311.39
C[C@@H]([NH3+])[C@@H]1CCCN(C(=O)N2CCOCC2)C1,-0.219,242.34
CC1C(CO)CNC1=O,-0.639,129.16
C[C@@H](NS(=O)(=O)c1cccc(-n2cnnn2)c1)C(N)=O,-1.1856,296.31
CC(=O)N[C@@H](C[NH2+]CCc1ccc(F)cc1C)C(=O)[O-],-1.50538,282.31
CC[C@@H]([NH2+]C)[C@@H](C)SCC[NH+](C)C,-0.7756,206.4
COC1OC(=N)CC1O,-0.283,131.13
CC1(O)CCC1C(N)=O,-0.367,129.16
Cc1cc(F)cc(S(=O)(=O)N(C)CC[NH+](C)C)c1,-0.10088,275.37
OCC12CC3N=CN1C23,-0.784,124.14
NC(=O)C12CN3CC1C23,-1.214,124.14
O=C1CNC1C#N,-0.949,96.09
CC1(COC1)CNC=O,-0.231,129.16
N#CC1CN2CC2CO1,-0.407,124.14
CC12CN1C(=N)C1OC21,-0.181,124.14
Cc1c([C@H](C)NC(=O)c2cnn(CC(=O)[O-])c2)cnn1C,-0.8340799999999999,290.3
[NH3+][C@@H](Cc1ccc(F)cc1C(F)(F)F)C(=O)[O-],-0.2526,251.18
CN1CCc2c1nn[nH]2,-0.203,124.15
C[C@H](O)C[NH+](C)Cc1nc2ccc(N)cc2o1,-0.1945,236.29
CNC(=O)CC1OC1C,-0.09,129.16
OCC12C3CN1CC23O,-1.592,127.14
C1OC2C1OC1COC21,-0.449,128.13
OCC12CN1C1(CC1)C2,-0.031,125.17
CN(CC1CC([O-])C1)C(=O)NCCOCC(=O)[O-],-2.4668,258.27
CCC[NH2+]CC(=O)N1[C@H]2CCCC[C@H]2CC[C@@H]1C(=O)[O-],-0.7405,282.38
CC1C2OC=NCC12O,-0.206,127.14
OC1C(OC1=N)C=O,-1.078,115.09
CC(=O)NC=NCCO,-0.857,130.15
NC(C#N)C1(N)COC1,-1.435,127.15
OC1C(COC1=N)C#C,-0.396,125.13
CC1(C)C(O)CN1C=O,-0.402,129.16
CCS(=O)(=O)NCc1ccccc1C[NH+](C)C,-0.2296,257.38
NC1(CO)CCOC1=O,-1.377,131.13
N=C1CC(=O)CO1,-0.047,99.09
CNC(=O)C(C)C(C)O,-0.251,131.17
CC1C2CN2C11CC1O,-0.176,125.17
O=C1CC2(CC3NC23)O1,-0.584,125.13
OCCC1C=CC2CN12,-0.009,125.17
COc1ccc(S(=O)(=O)N2CCCN(CC[NH+](C)C)CC2)cc1,-0.4639,342.49
c1c(ncnn1)C(=O)N,-1.03,124.1
OC1CC(O)C1NC=O,-1.773,131.13
OC12CC1C1CC1(O)C2,-0.108,126.15
C(CC(=N)NC=O)CO,-0.518,130.15
NC(CCOC=N)C#N,-0.149,127.15
Cc1c(=O)cc([nH]n1)N,-0.339,125.13
CN(CC(=O)N)C(=O)N,-1.518,131.13
C1COc2c(nno2)O1,-0.159,128.09
OC1C(=O)N2CC12C=O,-1.859,127.1
CCOC1CC(O)C1O,-0.483,132.16
CC(=O)OCC(=O)CO,-0.889,132.12
C1OC1C1=NON=N1,-0.464,113.08
OCC1CC=CNC1=O,-0.372,127.14
O=C1COC(CN1)C#N,-0.975,126.11
CNc1cc[nH+]c(CN(C)C[C@H]2CC[NH+](C)C2)c1,-0.4912,250.39
CCC(O)(CO)COC,-0.234,134.17
OC1C2OC2(C#C)C1O,-1.507,126.11
[O-]C(=O)C1[NH2+]CC2CC12,-2.682,127.14
OC1CC11C=CNC1=O,-0.619,125.13
OCC1CC2CC12O,-0.25,114.14
OCC1C2CC2N1C=O,-0.792,127.14
CN(C=N)C(=O)N1CC1,-0.039,127.15
COCCOC(=O)C=O,-0.625,132.11
CN(C=N)C(=O)C1CN1,-0.976,127.15
C[NH+](C)CCNC(=O)c1cc2c([nH]c1=O)C[C@@H](c1ccco1)CC2=O,-0.2451,344.39
CC12NC1C1(O)COC21,-1.14,127.14
CC[NH+]1CCN(C(=O)[C@H](C)N2CC[NH+](CCCO)CC2)CC1,-3.2952,314.47
CC1C(N)C(=O)N1C=O,-1.299,128.13
COCCC[NH+]1CC[C@@H](CNc2nnc(C)o2)C1,-0.26878,255.34
CCC[NH2+]C[C@H]1CCCN1C[C@@H]1CN(C)CCO1,-0.2452,256.41
N=C1C=NOC(=N)N=C1,-0.971,124.1
C[NH+]1CCC[C@@H](CNn2cccc2)C1,-0.0437,194.3
c12c(nc([nH]1)O)nn[nH]2,-0.613,125.09
O=C1CNC=NC1C#C,-0.811,122.13
CN1N=CC(=N)N=N1,-1.31,111.11
ON=C1COCC11CO1,-0.384,129.12
CC1COC(=O)NC1=O,-0.111,129.11
N=C1N=CN(C=O)N=N1,-1.809,125.09
O=C1CC2(CO2)C11CO1,-0.503,126.11
NC=[NH+]C1=NNC=C1[O-],-2.818,126.12
COC1C2C3N2C1C3=O,-0.981,125.13
C[C@@H]1CCCN(C(=O)N[C@@H]2C[C@@H]2[NH3+])C1,-0.1893,198.29
CC1OC(C#C)C(=O)O1,-0.092,126.11
OC(CC#C)C(=O)C#N,-0.537,123.11
CC1(O)C(CC1=O)C=O,-0.475,128.13
O=C([O-])[C@@H]1[C@@H]2CC[C@@H](O2)[C@@H]1C(=O)n1cc(Cl)cn1,-0.2798,269.66
CC1(O)CC1C(N)C#N,-0.392,126.16
CC1OC2CC12NC=O,-0.338,127.14
CCOC(=N)C(O)CO,-0.647,133.15
COC(=O)C1CC2CN12,-0.384,127.14
N[C@@H]1CS(=O)(=O)C[C@H]1Cl,-0.6505,169.63
C[C@@H]1CCCC[NH+]1C1C[NH+](Cc2ccc(S(C)(=O)=O)cc2)C1,-0.6855,324.49
OCC1CN2C=CN=C12,-0.027,124.14
c1c(c(ncn1)N)C=O,-0.129,123.11
CC1CNC(C)C(=O)O1,-0.09,129.16
CN[C@]1(C(N)=O)CCC[C@@H]([NH+](C)[C@@H](C)C2CC2)C1,-0.3143,254.4
O1C2C1C1C=CC3C2N13,-0.241,121.14
N=C1OC2C=CC3C2N13,-0.057,122.13
CC1C2C3N2C(C)C13O,-0.178,125.17
CC(=O)NC(=O)OC=N,-0.134,130.1
NC(CC#N)C#CCO,-0.777,124.14
CCC1(CC)C[NH+]([C@H](CCS(C)(=O)=O)C(=O)[O-])C1,-1.7555,277.39
C1C=C(C(=O)CN1)CO,-0.923,127.14
OC1C(O)C11CC(=N)O1,-1.142,129.12
C[NH2+]CC(=N[O-])C(C)=O,-1.293,130.15
N=C1OCOC1=N,-0.055,100.08
OC1C(=O)C2N3CC12C3,-1.386,125.13
Cc1noc(C)c1CC(=O)N1CC[C@@H](C(=O)[O-])[C@H]1C,-0.17916,265.29
OC1C2C3OC4C(C23)C14,-0.38,124.14
OC1CCOCC(O)C1,-0.481,132.16
COCC(=O)CNC=O,-1.052,131.13
CC1C2C(=N)OCC12O,-0.009,127.14
OC1CN2C1=NC=C2O,-0.364,126.11
C[NH2+]Cc1ccc(N2CC[NH+]3CCC[C@@H]3C2)cc1,-0.7529,247.39
O=C1NC2COC(=O)C12,-1.342,127.1
NC(N)=NC(C=O)C#N,-1.649,126.12
CC1=CC(CO)NC1=O,-0.577,127.14
CCN=C1NC(=O)CO1,-0.491,128.13
NC1=NC(CO1)C#C,-0.667,110.12
C[C@H](C#N)C[NH+](C)CCC1OCCCO1,-0.18612,213.3
C[C@H]1CCC[C@@H](N[NH+]2CCN(C)CC2)C1,-0.1,212.36
C1NC11COC2COC12,-0.874,127.14
O=C1NCCN2CC1C2,-0.952,126.16
O=C1CN(Cc2[nH][nH]c(=O)[nH+]2)[C@@H]2CCCC[C@H]2N1,-1.2399,252.3
NC(=NCC[NH3+])C([O-])=O,-3.665,131.13
C(=O)c1c(c(on1)N)N,-0.349,127.1
CC1=NCC(O1)C1CN1,-0.225,126.16
CC1C(O)C2(CN12)C=O,-0.997,127.14
OC1CC(C#C)C2NC12,-0.659,123.15
OC1(CC11COC1)C#N,-0.339,125.13
CN1CC11CNCC1=O,-1.157,126.16
CC1([NH3+])CC1(O)C([O-])=O,-3.128,131.13
C(C(=O)N)OC(=O)C=O,-1.786,131.09
c1c([nH]cn1)OC=O,-0.055,112.09
NC1=NC(COC1)C#C,-0.624,124.14
OCC1COC(=N)CO1,-0.629,131.13
C(c1nnn(n1)C=O)O,-1.796,128.09
OC1C2CC(=O)CC1O2,-0.522,128.13
CC#CC(N)C(O)C#N,-0.779,124.14
C(c1c(nno1)O)O,-0.733,116.08
O=CC1C2CC1(O2)C#N,-0.134,123.11
OC12CC3C1C3(C2)C=O,-0.044,124.14
CNC(=O)C(O)C=O,-1.708,117.1
O=CC12CCC1NC2=O,-0.536,125.13
OC1C2CC(C#C)C1O2,-0.232,124.14
CN1CC11CC(O)C=C1,-0.009,125.17
C1COC(O1)(CO)CO,-1.286,134.13
Nc1cnn([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,-3.168,244.21
CC[NH+]1CC[C@H](C[NH2+]Cc2ccco2)C1,-0.7323,210.32
C=CCS(=O)(=O)/N=c1/[nH]c2c(s1)C[NH2+]CC2,-0.8878,260.36
N=C1NCCNC(=O)N1,-1.176,128.14
O=C1OC2CNC1CO2,-1.142,129.12
C[C@@H]([C@H](C)C[NH2+]C1CC1)N1CC[NH+](C(C)(C)C)CC1,-0.2642,269.48
CC1(NC11COC1)C#C,-0.25,123.15
CC[NH+](CC(=O)NC(C)C)[C@H]1CCCC(=O)C1,-0.0725,241.35
c1c(=O)[nH]c(c(n1)O)N,-0.942,127.1
CN(C=O)C(=O)CC=O,-0.81,129.11
OCCC1C2C3CC3N12,-0.176,125.17
CC(CNC(N)=O)C#N,-0.186,127.15
Cn1c(c(nn1)N)CO,-1.11,128.14
C(#N)c1[nH]c(c(n1)O)N,-0.431,124.1
CC1(C#N)C2OC2C1=O,-0.134,123.11
C1CC1n2c(=O)[nH]nn2,-0.699,126.12
OC12C3C4C1C(N34)C2=O,-1.635,123.11
C[NH+]1CCN(c2ncnc(N3CCN(c4cccc[nH+]4)CC3)c2N)CC1,-1.4658,356.48
CC1C=CC2(CO)CN12,-0.009,125.17
COCCCO[C@@H]1CC[C@@]([NH3+])(C(N)=O)C1,-0.942,217.29
OC1C=CCC(=O)C1=O,-0.555,126.11
CC(=O)C#CC1CN1,-0.449,109.13
C(=O)c1[nH]c(c(n1)O)O,-0.367,128.09
CNC1C(=O)OC1(C)C,-0.09,129.16
N#CC12OC3C1CNC23,-0.751,122.13
[NH3+][C-]1C=CC2=NON=C12,-0.185,123.12
O=C1C2C3N2C1C31CO1,-1.227,123.11
OCC(OC=O)C1CO1,-1.081,132.11
CN1C2CC(O)C1C2O,-1.206,129.16
O=C(CC[NH+]1CCN(c2ccccc2)CC1)N1CCC[C@H](O)C1,-0.2351,318.44
O=CC1CN=COC1=O,-0.613,127.1
CC1COCC(CO)O1,-0.217,132.16
CC(C)(O)CC(O)CO,-0.499,134.18
CC1C(C=O)N1C,-0.112,99.13
OC12CC(C1)C1NC21,-0.519,111.14
CCNC(=O)NC(=O)[C@@H](C)N[C@](C)(C(=O)[O-])C(F)(F)F,-1.1189,298.24
CC#CC12NC3C1OC23,-0.499,121.14
CC[C@H](C)N1CCN(C(=O)CC(=O)[O-])CC1,-0.9309,227.28
CCCn1c(=O)onn1,-0.359,129.12
CC1(NC2C(O)C12)C#N,-0.769,124.14
CC1(CO1)C(O)C(N)=O,-1.379,131.13
NC1=NCC2CC(=O)N12,-1.084,125.13
CCn1c(noc1=O)N,-0.562,129.12
CC(=O)C(=NC)NC,-0.177,114.15
CNC1(C#N)C(C)C1N,-0.555,125.17
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc(F)cc1,-0.8405,306.26
C1OC11C2C3C=CC1N23,-0.24,121.14
OC1C2CCOCC1O2,-0.465,130.14
COc1cncnn1,-0.12,111.1
NC(=O)CCC(O)CO,-1.395,133.15
CC1NC(C#N)C11CO1,-0.361,124.14
CC(C)(O)CNC(=O)CCn1nc([O-])c2ccccc2c1=O,-0.2527,304.33
OC1C2C3C(C#N)C1N23,-1.064,122.13
c1cnc([nH]1)C(=O)C=O,-0.209,124.1
CN(C)C(=O)C(=O)N,-1.44,116.12
COC1C(=O)C2OC12C,-0.258,128.13
C1CC2(O1)C1C3NC3C21,-0.255,123.15
CC(C)NC(=N)C(=O)N,-0.553,129.16
CC(=O)C(OC=O)C#C,-0.25,126.11
CC1OC2C(C#C)C12O,-0.232,124.14
C=CCNC(=O)CN1NN=C(c2ccccc2)N1,-0.0248,245.29
O=C([O-])Cc1csc(NC(=O)CS[C@@H]2CCS(=O)(=O)C2)n1,-0.7057,349.44
O=C[C@H](O)[C@@H](O)[C@H]1O[C@H](c2ccccc2)OC[C@H]1O,-0.6178,268.26
CC(N=C(N)CO)C#N,-0.752,127.15
[NH3+]CC(N1CC1)C([O-])=O,-3.338,130.15
OC1C2NC2C2CCC12,-0.273,125.17
CC(CO)C1=NNC=N1,-0.1,127.15
Cc1n[nH]c2n1cnn2,-0.239,123.12
c1c(nnnn1)CC#N,-0.667,121.1
CN(CC=O)CC1CO1,-0.484,129.16
c1c(=O)[nH]nc(n1)C=O,-1.023,125.09
COC[C@@H](O)CN(C)c1ccc(S(N)(=O)=O)c(N)c1,-0.6403,289.36
CC1(CO1)C(=O)NC=O,-0.952,129.11
CC(C=O)C(C)(O)C=O,-0.229,130.14
CC1=NC2C3C2C(=O)N13,-0.372,122.13
c1nc(=O)c(no1)F,-0.431,116.05
CN1CC11COC(=O)C1,-0.383,127.14
CCC(=O)NCC(C)O,-0.107,131.17
OCC1NC11CCC1O,-1.156,129.16
O=CNCC(C=O)C#C,-0.819,125.13
COCC(=O)C(=O)C#N,-0.705,127.1
CC(C)([C@@H](O)Cc1cc[nH+]c(N)c1)[NH+]1CCCCC1,-0.1663,265.4
C(CO)n1nc(nn1)O,-1.629,130.11
C(C#N)NC(=O)CO,-1.382,114.1
C=CCN(C(=O)CCC1=c2ccccc2=[NH+]C1)[C@@H]1CCS(=O)(=O)C1,-1.467,347.46
Cn1cc([C@H]2CCC[NH+]2CC(=O)N2CCOCC2)cn1,-1.0013,279.36
CC1=NC(=N)NC=N1,-0.407,110.12
CC1OCCC(O)C1=O,-0.275,130.14
OC12C(NC1=N)C2C#C,-1.07,122.13
CC12C3C4C(N13)C24C=O,-0.36,121.14
OCC1CCC(=O)N1,-0.743,115.13
OC1C2C1C1=CCOC21,-0.068,124.14
CC1=CNC(=N)OC1=O,-0.244,126.11
c1cnc(=O)cc(n1)N,-0.581,123.11
CC12OC1CC2(O)C#N,-0.198,125.13
O=C1COC1C#N,-0.522,97.07
OCC1(CO1)C1CC1O,-0.872,130.14
C1COCOC(=O)CO1,-0.466,132.11
OC1C2NC1(C=C2)C#C,-0.739,121.14
COC(C=O)C1NC1C,-0.439,129.16
C[NH+]1CCN(c2ccc(F)cc2C[NH2+]C2CC2)CC1,-0.6138,265.38
CCn1cnc(S(=O)(=O)N2CCN(CCCC[NH3+])CC2)c1,-0.7686,316.45
N=C1OCCOCO1,-0.058,117.1
O=C(N[C@@H]1C=C[C@H](C(=O)[O-])C1)c1cn2ccccc2n1,-0.2413,270.27
CN=C1OC(C=O)C1O,-1.027,129.11
CC(=O)NC(=NC)OC,-0.245,130.15
OCC1OC2CC12O,-1.119,116.12
CC1(C=O)C2CN=CN12,-0.33,124.14
O=C([O-])CCC1CC[NH+]([C@H]2CCO[C@]3(CCSC3)C2)CC1,-0.1339,313.46
NC(=[NH2+])C1=CC(=O)O[CH-]1,-2.177,126.11
CC(C)C(=NO)C(=O)N,-0.042,130.15
CC12C3N1CC2OC3=O,-0.632,125.13
O=CC12OC1C(=O)C=C2,-0.538,124.09
CNC(=O)[C@H](C)C[NH+](C)CC(=O)NNC(=O)c1ccc(F)cc1,-1.5165,325.36
OC12CC34CCN(C13)C24,-0.422,123.15
CC12OC1C1OCC2O1,-0.101,128.13
CC1(O)CC(O)CC1=O,-0.539,130.14
NC1C(O)C(=N)NC1=N,-1.768,128.14
CC[NH2+][C@H](CC)CN1CC(=O)N2CCCC[C@@H]2C1=O,-0.4284,268.38
CC12CC1OC(CO)O2,-0.117,130.14
CC1C2OC3C4C3N1C24,-0.162,123.15
NC(=O)C1C(O)C1C=O,-1.723,129.11
CC(=O)C1(CC=O)CN1,-0.494,127.14
c1c2c(c([nH]1)N)[nH]nn2,-0.132,123.12
Cn1c(=O)c2c(ncn2Cc2nnc(N)s2)n(C)c1=O,-1.0843,293.31
COC1C2OC1C2C#N,-0.078,125.13
O=C([O-])c1ccnc(-n2cnnn2)c1,-1.5792,190.14
OCC(=O)C1C2COC12,-0.807,128.13
CC[C@@H]1CN(C(=O)C[NH+](C)Cc2nnc(C)n2C)C[C@@H](C)O1,-0.83588,310.42
COCCc1nnon1,-0.347,129.12
CC(O)CN1CC1C=O,-0.75,129.16
N=C1NCCC1=O,-0.474,98.11
OC(C#N)C1=CNN=N1,-0.638,124.1
COC(=O)C1(CO1)C#C,-0.438,126.11
COCC1OC1C(N)=O,-1.114,131.13
CNC(=O)C[NH+]1CCCN(CC2CCCCC2)CC1,-0.0967,268.42
NC1=CNC(OC=N)=N1,-0.022,126.12
CC1C(=O)C2NCC12O,-1.092,127.14
C=CC[NH+](CC(=O)[O-])C[C@H]1CCC[C@H](C)C1,-0.3665,225.33
O=C([O-])CC[C@H](NC(=O)c1ccc(I)cc1)C(=O)[O-],-1.3304,375.12
CC1(COCO1)C1CN1,-0.279,129.16
CC12C3C(CC13O)C2O,-0.252,126.15
OCC(=O)C1CC(=O)O1,-1.137,130.1
CNC1C(CO)OC1=N,-1.057,130.15
NC(=O)[C@@H]1CCC[NH+]1CC(=O)N1CCN(c2ccccc2[N+](=O)[O-])CC1,-1.224,362.41
N=C1NN=CN=C1C#C,-0.735,120.11
OCC[NH+](CCO)C[C@H]1C[C@H]2C=C[C@@H]1C2,-0.9319,212.31
O=C(Cn1c(=O)[nH]c2ccccc2c1=O)NCC1CCC(C(=O)N2CCC(C(=O)[O-])CC2)CC1,-0.3991,469.52
Cn1c(ncn1)NC=O,-0.617,126.12
O=C1C2OC3C=CN1C23,-0.508,123.11
COc1c(nc(o1)N)O,-0.029,130.1
N=C1NCC2(CN2)C1=O,-1.522,125.13
OC1C2[NH2+]CC12C([O-])=O,-3.957,129.11
N=C1N=NNN=C1C#C,-1.34,121.1
O=C(C#N)C1C2CN1C2,-0.607,122.13
CNC1(COC1C)C#N,-0.113,126.16
NC1(C#N)C(O)C1O,-2.057,114.1
CC1(C#N)C2OC1C2O,-0.342,125.13
OCC1=NCC2CN12,-0.925,112.13
CC(O)COCC(C)=O,-0.027,132.16
CCC1NC(C=O)C1O,-0.703,129.16
CN=C1ON=NC(O)=N1,-1.299,128.09
N=C1NC2C3OC1OC23,-0.941,126.11
C(#CC(=O)C#N)C#N,-0.394,104.07
CCOC(=O)[C@@H](C)[NH+](C)CC1CC[NH2+]CC1,-1.5739,230.35
OCC1CN1CCC=O,-0.748,129.16
C#Cc1cc([nH]n1)N,-0.027,107.12
OC1CC1OCC=O,-0.665,116.12
C(C=O)OCC=O,-0.599,102.09
OCCC1CC1OC=O,-0.07,130.14
OCC(=O)C12CC(C1)O2,-0.521,128.13
c12c([nH]c(=O)[nH]1)nn[nH]2,-1.026,125.09
OC1C(=N)NC=C1C=O,-0.989,126.11
Cc1ccc(C(=O)[O-])c(N)c1O,-0.35368,166.16
CC1OC2COC2C1=O,-0.258,128.13
COC1(C)C(O)C1C=O,-0.419,130.14
CC[C@H](C)N1C(N)=[NH+]C[C@H]1[C@@H]1CCOC1,-1.0991,212.32
CC(C(C)=O)C(N)=O,-0.303,115.13
CCCC[NH+](C)[C@H]1CC[C@H]([NH3+])C1,-0.5358,172.32
COC1CCOCC1=O,-0.009,130.14
C(C#N)c1c([nH]nn1)N,-0.547,123.12
CC(O)C#CCO,-0.637,100.12
C[NH+](C)C(C)(C)COc1nc2c(cc1C(=O)[O-])CCC2,-0.7643,278.35
[O-]C(=O)C1CC11CC[NH2+]1,-2.538,127.14
C(#N)c1nc(no1)N,-0.477,110.08
